label,dataset,model,unit,estimate,ci95_lower,ci95_upper,bootstrap_standard_error,clusters,samples,seed
cut3r-trained/linear,cut3r-trained,linear,window_accuracy,0.7077067669172933,0.6632650688182249,0.750483503045933,0.022317233820836238,280,20000,2600890603
cut3r-trained/linear,cut3r-trained,linear,sequence_accuracy,0.7571428571428571,0.7071428571428572,0.8071428571428572,0.02559562203728934,280,20000,2600890603
cut3r-trained/mlp512,cut3r-trained,mlp512,window_accuracy,0.6832706766917294,0.6360225140712945,0.7292452830188679,0.0236465602147077,280,20000,2884357290
cut3r-trained/mlp512,cut3r-trained,mlp512,sequence_accuracy,0.7035714285714286,0.65,0.7571428571428571,0.027181238646427883,280,20000,2884357290
cut3r-random/linear,cut3r-random,linear,window_accuracy,0.21428571428571427,0.17254528122020973,0.2582469368520264,0.02185182260073433,280,20000,3795265263
cut3r-random/linear,cut3r-random,linear,sequence_accuracy,0.22857142857142856,0.17857142857142858,0.2785714285714286,0.025141952211196535,280,20000,3795265263
cut3r-random/mlp512,cut3r-random,mlp512,window_accuracy,0.24436090225563908,0.20280341230167354,0.2876203522504891,0.021608763308623664,280,20000,1347936378
cut3r-random/mlp512,cut3r-random,mlp512,sequence_accuracy,0.2892857142857143,0.2357142857142857,0.34285714285714286,0.02716237834037967,280,20000,1347936378
dinov2/linear,dinov2,linear,window_accuracy,0.9530075187969925,0.9303616518531119,0.9731481481481481,0.010954518795106867,280,20000,743074936
dinov2/linear,dinov2,linear,sequence_accuracy,0.9607142857142857,0.9357142857142857,0.9821428571428571,0.01152678603952743,280,20000,743074936
dinov2/mlp512,dinov2,mlp512,window_accuracy,0.9595864661654135,0.9393090569561158,0.9776328052190121,0.00991736120193348,280,20000,2865387401
dinov2/mlp512,dinov2,mlp512,sequence_accuracy,0.9642857142857143,0.9392857142857143,0.9857142857142858,0.011096273631597335,280,20000,2865387401
