target,reference,unit,estimate,unpaired_ci95_lower,unpaired_ci95_upper,unpaired_bootstrap_standard_error,paired_ci95_lower,paired_ci95_upper,paired_bootstrap_standard_error,clusters,samples,seed
cut3r-trained/mlp512,cut3r-trained/linear,window_accuracy_difference,-0.024436090225563922,-0.08926220880489613,0.039874281395422685,0.03275038410220963,-0.050752239794889506,0.0018886187525771108,0.013475803160912913,280,20000,2072078395
cut3r-trained/mlp512,cut3r-trained/linear,sequence_accuracy_difference,-0.05357142857142849,-0.12857142857142856,0.021428571428571463,0.0376470439874228,-0.0892857142857143,-0.017857142857142905,0.01815941276272622,280,20000,2072078395
cut3r-random/mlp512,cut3r-random/linear,window_accuracy_difference,0.03007518796992481,-0.0310140640430167,0.09141110903800553,0.031168244055508682,-0.004646840148698872,0.06534137329174092,0.017713952534421,280,20000,2706768559
cut3r-random/mlp512,cut3r-random/linear,sequence_accuracy_difference,0.06071428571428575,-0.010714285714285732,0.13214285714285715,0.036727311549421,0.01428571428571429,0.10714285714285715,0.023693510426722436,280,20000,2706768559
dinov2/mlp512,dinov2/linear,window_accuracy_difference,0.006578947368421018,-0.022423351013290897,0.03589043364745633,0.01493424053267203,0.0,0.014967259120673537,0.0038299017016222106,280,20000,2013561229
dinov2/mlp512,dinov2/linear,sequence_accuracy_difference,0.0035714285714285587,-0.02857142857142858,0.0357142857142857,0.01611557048272447,0.0,0.010714285714285787,0.0035456748614564487,280,20000,2013561229
cut3r-trained/linear,cut3r-random/linear,window_accuracy_difference,0.493421052631579,0.4312807404808721,0.5535675728696784,0.031190641221204456,0.44289693593314766,0.5428571428571428,0.025569663098238146,280,20000,2933986667
cut3r-trained/linear,cut3r-random/linear,sequence_accuracy_difference,0.5285714285714286,0.4571428571428572,0.6,0.03579931813620001,0.46785714285714286,0.5893749999999922,0.03144043080228349,280,20000,2933986667
cut3r-trained/mlp512,cut3r-random/mlp512,window_accuracy_difference,0.43890977443609025,0.3752742451325345,0.5014639540879431,0.03226000557137353,0.38785046728971967,0.4898148148148148,0.026060370738890996,280,20000,3013227517
cut3r-trained/mlp512,cut3r-random/mlp512,sequence_accuracy_difference,0.4142857142857143,0.33928571428571425,0.48928571428571427,0.03861453295069885,0.35,0.47857142857142854,0.032933463643508035,280,20000,3013227517
dinov2/linear,cut3r-trained/linear,window_accuracy_difference,0.24530075187969924,0.19630218042532807,0.2938587112756741,0.02491637009425895,0.20318352059925093,0.28838995435724196,0.021571451985284092,280,20000,2726068411
dinov2/linear,cut3r-trained/linear,sequence_accuracy_difference,0.20357142857142863,0.1499999999999999,0.25723214285713514,0.028188085895374953,0.15357142857142858,0.25357142857142856,0.025636050589331747,280,20000,2726068411
dinov2/mlp512,cut3r-trained/mlp512,window_accuracy_difference,0.2763157894736842,0.22643375138096686,0.3272796514627503,0.025665814585366247,0.23142050799623703,0.3230344291274562,0.023458080326051838,280,20000,4088186794
dinov2/mlp512,cut3r-trained/mlp512,sequence_accuracy_difference,0.2607142857142857,0.20357142857142863,0.31785714285714284,0.029276152087614145,0.20714285714285718,0.3142857142857143,0.027562846826745365,280,20000,4088186794
dinov2/linear,cut3r-random/linear,window_accuracy_difference,0.7387218045112782,0.6903146471014621,0.7857043669781741,0.02434758164278954,0.6924545872303617,0.7835820895522387,0.02319962997832361,280,20000,1459860819
dinov2/linear,cut3r-random/linear,sequence_accuracy_difference,0.7321428571428572,0.675,0.7857142857142857,0.027619958399711316,0.6785714285714286,0.7821428571428571,0.026406500003335387,280,20000,1459860819
dinov2/mlp512,cut3r-random/mlp512,window_accuracy_difference,0.7152255639097744,0.6664953189875631,0.760980451233481,0.02409274068969193,0.6695317915131669,0.7596608927260324,0.022844961232470498,280,20000,1089952606
dinov2/mlp512,cut3r-random/mlp512,sequence_accuracy_difference,0.675,0.6178571428571429,0.7321428571428571,0.029481860294557235,0.6178571428571429,0.7321428571428571,0.02841469441577124,280,20000,1089952606
